Title,Jahr,Author,Untertitel,Dokumententyp,"Übergeordneter Titel",Zeitschrift,Reihentitel,Herausgeber,Ort,Verlag,Auflage,ISBN,DOI,Band,Nummer,Seiten,"Internetdokument URL",Institution/Veranstalter,"Vortragsreihe / Veranstaltung",Datum,Vortragende/r,Vortragstyp,Panel
"When Two Worlds Collide: Examining Group Practices During Big Data Analytics Adoption",,"Hagen, J.; Graf, Angela",,Zeitschriftenaufsatz,,"Journal of Strategic Information Systems",,,,,,,,,,,,,,,,,
"Data Portability: Conceptualization, Architectures, and Implications. Business & Information Systems Engineering",,"Kranz, Johann; Kuebler-Wachendorff, Sophie; Syrmoudis, Emmanuel; Grossklags, Jens; Mager, Stefan; Mayr, Susanne",,"Unklarer Dokumententyp",,,,,,,,,,,,,,,,,,,
"AI-assisted reflection in child welfare","im Druck","Kraus, Maximillian; Burghardt, Jennifer; Koska, Christopher",,"Beitrag in ...","Künstliche Intelligenz und ethische Verantwortung",,,"Reder, Michael; Koska, Christopher",,"Transcript Verlag",,978-3-8376-6905-3,,,,,,,,,,,
"Vertrauen im Kontext","im Druck","Wolf, Susanna; Schütte, Jan-Fiete; Hauer, Marc; Koska, Christopher","Messung und Operationalisierung","Beitrag in ...","Künstliche Intelligenz und ethische Verantwortung",,,"Reder, Michael; Koska, Christopher",,"Transcript Verlag",,978-3-8376-6905-3,,,,,,,,,,,
"Die Verlagerung von Vertrauen vom Mensch zur Maschine",,"Koska, Christopher; Prugger, Julian; Jörg, Sophie; Reder, Michael","Eine Erweiterung des zwischenmenschlichen Vertrauensparadigmas im Kontext Künstlicher Intelligenz",Zeitschriftenaufsatz,,"Zeitschrift für Praktische Philosophie",,"Beck, Birgit; Reinhardt, Karoline; Schweiger, Gottfried; Zichy, Michael",,,,,,,,,,,,,,,
"Utilitarismus, Liberalismus und libertäre Theorie","[Im Druck]","Rüger, Korbinian; Baumann Marius",,"Beitrag in ...","Handbuch Utilitarismus",,,"Andric, Gesang",,,,,,,,,,,,,,,
"Verantwortungsteilung zwischen Mensch und Maschine?",2020,"Bauer, Nikolaus; Nida-Rümelin, Julian; Staudacher, Klaus",,"Beitrag in ...",Digitalisierung,,,"Beck, Kusche et al.",,,,,,,,,,,,,,,
"Zur Frage der Verantwortung und Haftung von KI",2020,"Bauer, Nikolaus; Staudacher, Klaus",,"Graue Literatur / Bericht / Report",,bidt-Magazin,"bidt Magazin",bidt,,,,,,,,,,,,,,,
"The Use of De-identification Methods for Secure and Privacy-enhancing Big Data Analytics in Cloud Environments",2020,"Bondel, Gloria; Garrido, Gonzalo; Baumer, Kevin; Matthes, Florian",,Konferenzpapier,"Proceedings of the 22nd International 2020",,,,,,,,10.5220/0009470903380344,,,338–344,,,,,,,
"Digitalisierungsstrategien bundesdeutscher Länder",2020,"Brunner, Katharina; Jager, Andreas; Hess, Thomas; Münch, Ursula","Eine Bestandsaufnahme ihrer Entwicklung und Implementierung","Graue Literatur / Bericht / Report",,,"bidt Analysen und Studien",bidt,,,,,,,,,,,,,,,
"An Analysis of the Current State of the Consumer Credit Reporting System in China",2020,"Chen, Mo; Grossklags, Jens",,Konferenzpapier,"PoPETs (Proceedings on Privacy Enhancing Technologies)",,,,,,,,10.2478/popets-2020-0064,2020,4,89-110,,,,,,,
"Ethik als Akteurin für die Entwicklung einer digitalen Kultur. Das Verhältnis zu Wirtschaft und Politik am Beispiel des Diskurses um „Künstliche Intelligenz“",2020,"Filipović, Alexander",,"Beitrag in ...","Kommunikations- und Medienethik reloaded",,,"Prinzing, Debatin et al.",,,,,10.5771/9783748905158-331,,,331–338,,,,,,,
"Embedded Ethics Could Help Implement the Pipeline Model Framework for Machine Learning Healthcare Applications.",2020,"Fiske, Amelia; Tigard, Daniel; Müller, Ruth; Haddadin, Sami; Buyx, Alena; McLennan, Stuart",,Zeitschriftenaufsatz,,"The American journal of bioethics : AJOB",,,,,,,10.1080/15265161.2020.1820101,20,11,32–35,,,,,,,
"Leviathan for sale",2020,"Gogoll, Jan; Uhl, Matthias","The fallacy of trusting in people instead of institutions",Zeitschriftenaufsatz,,"European Journal of Political Economy",,,,,,,10.1016/j.ejpoleco.2020.101898,63,,,,,,,,"Wissenschaftlicher Vortrag",
"Standing on the Shoulders of Web Giants: The Economic Effects of Personal Data Brokers",2020,"Haberer, Bastian; Kraemer, Jan; Schnurr, Daniel",,Zeitschriftenaufsatz,,"SSRN Journal (SSRN Electronic Journal)",,,,,,,10.2139/ssrn.3141946,,,,,,,,,,
"Open Government Data for Digital Services: Effects on Innovation, Competition and Societal Benefits",2020,"Haberer, Bastian; Schnurr, Daniel",,Zeitschriftenaufsatz,,"SSRN Journal (SSRN Electronic Journal)",,,,,,,10.2139/ssrn.3743648,,,,,,,,,,
"Facebook needs to share more with researchers",2020,"Hegelich, Simon",,Zeitschriftenaufsatz,,Nature,,,,"Macmillan Publishers",,,10.1038/d41586-020-00828-5,,,,,,,,,,
"Experiment gelungen",2020,"Holzapfel, Nicola",,Zeitschriftenaufsatz,,"Akademie Aktuell",,,,,,,,,3,35–36,,,,,,,
"KI in der Arbeitswelt – und der Mensch?",2020,"Huchler, Norbert",,"Graue Literatur / Bericht / Report",,,ansätze,,,,,,,,,,,,,,,,
"Towards socio-technical requirements engineering for regulatory compliance",2020,"Kosenkov, Oleksandr",,Konferenzpapier,"IEEE 2020 – Proceedings of the IEEE 28th International Requirements Engineering",,,,,,,,,,,451–456,,,,,,,
"An embedded ethics approach for AI development",2020,"McLennan, Stuart; Fiske, Amelia; Celi, Leo Anthony; Müller, Ruth; Harder, Jan; Ritt, Konstantin; Haddadin, Sami; Buyx, Alena",,Zeitschriftenaufsatz,,"Nat Mach Intell (Nature Machine Intelligence)",,,,,,,10.1038/s42256-020-0214-1,2,9,488-490,,,,,,,
"Should manual driving be (eventually) outlawed?",2020,"Müller, Julian F., Gogoll, Jan",,Zeitschriftenaufsatz,,"Science and engineering ethics",,,,,,,10.1007/s11948-020-00190-9,26,3,1549–1567,,,,,,,
"Philosophische Überlegungen zur Verantwortung von KI",2020,"Nida-Rümelin, Julian; Staudacher, Klaus",,"Graue Literatur / Bericht / Report",,,"bidt Working Paper",,,,,,,,,,,,,,,,
"Music, Recommender Systems and the Techno-Politics of Platforms, Data, and Algorithms",2020,"Passoth, Jan-Hendrik",,"Beitrag in ...",TechnoScienceSociety,,,"Maasen, Dickel et al.",,,,,,,,157-174,,,,,,,
"Einführung von KI-Systemen in Unternehmen",2020,"Stowasser, Sascha; Suchy, Oliver; Huchler, Norbert","Gestaltungsansätze für das Change-Management","Graue Literatur / Bericht / Report",,,,,,,,,,,,,,,,,,"Wissenschaftlicher Vortrag",
"Digitalisierung durch Corona?",2020,"Stürz, Roland A.; Stumpf, Christian; Mendel, Ulrike; Harhoff, Dietmar","Verbreitung und Akzeptanz von Homeoffice in Deutschland: Ergebnisse zweier bidt-Kurzbefragungen","Graue Literatur / Bericht / Report",,,"bidt Analysen und Studien",bidt,,,,,,,,,,,,,,,
"Digitalisierung durch Corona?",2020,"Stürz, Roland A.; Stumpf, Christian; Mendel, Ulrike; Harhoff, Dietmar","Verbreitung und Akzeptanz von Homeoffice in Deutschland","Graue Literatur / Bericht / Report",,,"bidt Analysen und Studien",bidt,,,,,,,,,,,,,,,
"Corona und Homeoffice: Verbreitung und Akzeptanz von Homeoffice während der Corona-Krise",2020,"Stürz, Roland A.; Stumpf, Christian; Mendel, Ulrike; Hemmler, Yvonne",,"Beitrag in ...","ayway media GmbH 2020 – Handbuch HR-Management",,,,,,,,,,,,,,,,,,
"Compliance Requirements in Large-Scale Software Development: An Industrial Case Study",2020,"Usman, Muhammad; Felderer, Michael; Unterkalmsteiner, Michael; Klotins, Eriks; Mendez, Daniel; Alégroth, Emil",,"Beitrag in ...","Product-Focused Software Process Improvement",,,"Morisio, Torchiano et al.",,,,,10.1007/978-3-030-64148-1_24,12562,,385–401,,,,,,,
"China’s “Health Silk Road” Offensive: How the West should Respond",2020,"Heldt, Eugénia C.",,Zeitschriftenaufsatz,https://www.globalpolicyjournal.com/blog/09/12/2020/chinas-health-silk-road-offensive-how-west-should-respond,"Global Policy",,,,,,,,,,,,,,,,,
"An Economic Approach to China’s Social Credit System",2020,"Krause, Theresa; Fischer, Doris",,"Beitrag in ...","Social Credit Rating",,,"Everling, Oliver",Wiesbaden,"Springer Gabler",,978-3-658-29652-0,https://doi.org/10.1007/978-3-658-29653-7_22,,,437-453,,,,,,,
"Reaching out to the Europeans",2020,"Haßler, Jörg; Magin, Melanie; Russmann, Uta; Baranowski, Pawel; Bene, Marton; Schlosser, Katharina; Wurst, Anna-Katharina; Fenoll, Vicente;  Kruschinski, Simon; Maurer, Peter","Political parties’ Facebook strategies of  issue ownership and the second-order character of European election campaigns","Beitrag in ...",,,"Europawahlkampf 2019","C. Holtz-Bacha",,Springer,,,https://doi.org/10.1007/978-3-658-31472-9_3,,,87–113,,,,,,"Wissenschaftlicher Vortrag",
"Citizen Science goes virtual – Digitalisierung als Boom der partizipativen Wissenschaft?",2021,"Altmann, Kevin",,Internetdokument,,,"bidt Blog",bidt,,,,,,,,,https://www.bidt.digital/citizen-science-goes-virtual-digitalisierung-als-boom-der-partizipativen-wissenschaft/,,,,,"Wissenschaftlicher Vortrag",
Gesichtserkennung,2021,"Bauer, Nikolaus; Gogoll, Jan; Zuber, Niina","Ein Diskussionsbeitrag zur Regulierung der Technologie","Buch (Monographie)",,,"bidt Analysen und Studien",bidt,,,,,,,6,,https://www.bidt.digital/publikation/gesichtserkennung-ein-diskussionsbeitrag-zur-regulierung-der-technologie/,,,,,"Wissenschaftlicher Vortrag",
"A Causal Model of Intersection-Related Collisions for Drivers With and Without Visual Field Loss",2021,"Biebl, Bianca; Kacianka, Severin; Unni, Anirudh; Trende, Alexander; Rieger, Jochem W.; Lüdtke, Andreas; Pretschner, Alexander; Bengler, Klaus",,Konferenzpapier,"Proceedings of HCI International 2021",,,"Stephanidis, Duffy et al.",,,,,10.1007/978-3-030-90966-6_16,13097,,219–234,,,,,,,
"Digitalisierung und Bewährungshilfe",2021,"Burghardt, Jennifer, Lehmann, Robert","Ein Überblick zum wissenschaftlichen Stand und zu Perspektiven der Digitalisierung von Beratungsprozessen",Zeitschriftenaufsatz,,"Bewährungshilfe – Soziales, Strafrecht, Kriminalpolitik",,,,,,,,68,3,213–227,,,,,,,
"1st AI-DEbate Workshop : workshop establishing An InterDisciplinary pErspective on speech-BAsed TEchnology",2021,"Carolus, Astrid; Siegert, Ingo",,Konferenzpapier,,,,,,"Universitäts- und Landesbibliothek Sachsen-Anhalt",,,http://dx.doi.org/10.25673/38471,,,,,,,,,"Wissenschaftlicher Vortrag",
"Towards a holistic approach and measurement of humans interacting with speech-based technology",2021,"Carolus, Astrid; Wienrich, Carolin",,Konferenzpapier,"Proceedings of the 1st AI-DEbate Workshop",,,"Carolus, Astrid; Siegert, Ingo",,,,,,,,39–41,,,,,,,
"R for Social Media Analytics",2021,"Dhawan, Saurabh; Hegelich, Simon",,"Beitrag in ...","The SAGE handbook of social",,,"Quan-Haase, Sloan",,,,,,,,,,,,,,,
"Digitalministerium. Welche Fehler gemacht und wie sie vermieden werden können",2021,"Egle, Christoph",,"Graue Literatur / Bericht / Report",,,"bidt Impulse",,,,,,,,,,https://www.bidt.digital/publikation/digitalministerium-welche-fehler-gemacht-und-wie-sie-vermieden-werden-koennten/,,,,,,
"Digital Technology Adoption by German Firms: Uncovering the Metadata of the ifo Business Climate Index",2021,"Englmaier, Florian; Fackler, Thomas; Laurentsyeva, Nadzeya",,Internetdokument,,,"bidt blog",bidt,,,,,,,,,,,,,,,
"Mapping the Dynamics of Management Styles",19.-21.11.2021,"Englmaier, Florian; Hofmann, Michael; Wolter, Stefan",,"Beitrag in ...","Evidence from German Survey Data",,,,,,,,,,,,,,,,,,
"Der Mensch als Person und die Technik. Christlich-sozialethische Perspektiven im Anschluss an Romano Guardinis",2021,"Filipović, Alexander",,"Beitrag in ...","Wer bist Du",,,Grunwald,,,,,,,,196–215,,,,,,,
"Ethical and Social Consequences of Artificial Intelligence: Insights from a Christian Social Ethics perspective",2021,"Filipović, Alexander",,"Beitrag in ...","The ‚good‘ algorithm",,,"Pegoraro, Paglia",,,,,,,,,,,,,,,
"Medienethik und Digitalität. Öffentlichkeit und Meinungsfreiheit im technischen Kontext",2021,"Filipović, Alexander",,"Beitrag in ...","Theologie und Digitalität",,,"Beck, Nord et al.",,,,,,,,447–463,,,,,,,
"Personen als Informationsbündel? Informationsethische Perspektiven auf den Gesundheitsbereich",2021,"Filipović, Alexander; Puzio, A.",,"Beitrag in ...","Digitalisierung Im Gesundheitswesen",,,"Fritz, Mandry et al.",,,,,,,,89–113,,,,,,,
"Do I Get the Privacy I Need? Benchmarking Utility in Differential  Privacy Libraries",22.09.2021,"Garrido, Gonzalo Munilla; Near, Joseph; Muhammad, Aitsam; He, Warren; Matzutt, Roman; Matthes, Florian",,"Graue Literatur / Bericht / Report",,,,,,,,,,,,,,,,,,,
"Ethics in the Software Development Process: from Codes of Conduct to Ethical Deliberation",2021,"Gogoll, Jan; Zuber, Niina; Kacianka, Severin; Greger, Timo; Pretschner, Alexander; Nida-Rümelin, Julian",,Zeitschriftenaufsatz,,"Philos. Technol. (Philosophy & Technology)",,,,,,,10.1007/s13347-021-00451-w,34,4,1085–1108,,,,,,,
"Theorizing power and future in strategizing: How Bourdieusian theory of practice and Bojean Framework",2021,"Graf, Angela; Lueg, Klarissa",,Konferenzpapier,"Proceedings of the 37th EGOS Colloquium ""Organizing for an Inclusive Society: Meanings, Motivations & Mechanisms""",,,,,,,,,,,,,,,,,,
"Co-creation logic in data disclosure: Understanding its underlying processes and contingency factors",2021,"Grüner, Alina; Schumann, Jan H.; Widjaja, Thomas",,Konferenzpapier,"Proceedings of the 4th Conference of the Bavarian 2021",,,,,,,,,,,,,,,,,,
"Soziale Konflikte und Digitalisierung",2021,"Gutwald, Rebecca, Burghardt, Jennifer, Kraus, Maximilian, Reder, Michael, Lehmann, Robert, Müller, Nicholas","Chancen und Risiken digitaler Technologien bei der Einschätzung von Kindeswohlgefährdungen.",Zeitschriftenaufsatz,,"EthikJournal - Zeitschrift für Ethik und Soziale Praxi",,,,,,,,7,2,,,,,,,,
"Die Goldenen Zwanziger Jahre der Technikregulierung",15.07.2021,"Heldt, Amélie; Hennemann, Moritz",,Zeitungsartikel,,Tagesspiegel,,,,,,,,,,,https://background.tagesspiegel.de/digitalisierung-und-ki/briefing/die-goldenen-zwanziger-jahre-der-technikregulierung,,,,,"Wissenschaftlicher Vortrag",
"Die Goldenen Zwanziger Jahre der Technikregulierung",03.08.2021,"Heldt, Amélie; Hennemann, Moritz",,"Graue Literatur / Bericht / Report",,,"bidt blog",bidt,,,,,,,,,https://www.bidt.digital/die-goldenen-zwanziger-jahre-der-technikregulierung/,,,,,"Wissenschaftlicher Vortrag",
"Click and Collect Wann werden Daten preisgegeben?",2021,"Hennemann, Moritz",,Internetdokument,,,"bidt blog",bidt,,,,,,,,,https://www.bidt.digital/click-and-collect-wann-werden-daten-preisgegeben/,,,,,,
"Das Schweizer Datenschutzrecht im Wettbewerb der Rechtsordnungen",2021,"Hennemann, Moritz",,"Beitrag in ...","Deutsches, europäisches und vergleichendes Wirtschaftsrecht",,,"Paal, Poelzig et al.",,,,,,,,371–381,,,,,,,
Datenlizenzverträge,2021,"Hennemann, Moritz",,Zeitschriftenaufsatz,,"Recht Digital",,,,,,,,2021,2,61-70,,,,,,,
"Art. 12 bis 14 Datenschutz-Grundverordnung",2021,"Hennemann, Moritz; Paal, Boris P.",,"Beitrag in ...",Datenschutz-Grundverordnung,,,"Paal, Pauly et al.",,,,,,,,182–246,,,,,,,
"Datenschutzrechtsordnungen in Afrika - Grundlagen, Rechtsentwicklung und Fortentwicklungspotenziale",2021,"Hennemann, M.; Boshe, P.; von Meding, R.",,Zeitschriftenaufsatz,,"Zeitschrift für Digitalisierung und Recht",,,,,,,,2021,3,193-247,,,,,,,
"Die Pandemie als Treiber der digitalen Transformation der Hochschulen?",2021,"Hofmann, Yvette; Salmen, Nathalie; Stürz, Roland A.; Schlude, Antonia; Putfarken, Hannes; Reimer, Maike; Classe, Franz","Einschätzungen aus der Sicht von Lehrenden und Studierenden","Graue Literatur / Bericht / Report",,,"bidt Analysen und Studien",bidt,,,,,https://doi.org/10.35067/xypq-kn65,,5,,,,,,,"Wissenschaftlicher Vortrag",
"Empowering Workers in a Mixed Skills Concept for Collaborative Robot Systems",2021,"Huchler, Norbert; Kessler, Ingmar; Lay, Florian; Perzylo, Alexander; Seidler, Michael; Steinmetz, Franz",,Konferenzpapier,"Proceedings of the Robotics: Science and Systems RSS 2021",,,,,,,,,,,,,,,,,,
"Designing Accountable Systems",2021,"Kacianka, Severin; Pretschner, Alexander",,Konferenzpapier,"Proceedings of the 2021 ACM 2021",,,,,,,,10.1145/3442188.3445905,,,424–437,,,,,,,
"Disruptive Wissenschaft?",2021,"Kern, Thomas; Opitz, Dahla","Die Mobilisierung von Fridays for Future in den USA und Deutschland",Zeitschriftenaufsatz,,"Umstrittene Expertise: Zur Wissensproblematik der Politik, Leviathan, Sonderheft 38",,"Büttner, S., Laux, T.",,"Nomos Verlagsgesellschaft mbH &amp; Co. KG",,,10.5771/9783748911418,,38,294-317,,,,,,,
"Investigating the Application of Differential Privacy to Mitigate Privacy Issues in Natural Language Processing",2021,"Klymenko, Oleksandra; Meisenbacher, Stephen; Garrido, Gonzalo; Nägele, Sascha; Matthes, Florian",,Zeitschriftenaufsatz,,"International Workshop on Privacy Engineering",,,,,,,,,,,,,,,,,
"Interdisciplinary challenges on the way to public value-oriented software engineering",2021,"Kosenkov, Oleksandr; Dreyer, Stephan; Mendez, Daniel; Rhein, Valerie",,Internetdokument,,,"bidt blog",bidt,,,,,,,,,,,,,,,
"Vision for an Artefact-based Approach to Regulatory Requirements Engineering",2021,"Kosenkov, Oleksandr; Unterkalmsteiner, Michael; Mendez, Daniel; Fucci, Davide",,Konferenzpapier,"Proceedings of the 15th ACM",,,Lanubile,,,,,10.1145/3475716.3484191,,,1–6,,,,,,,
"Information governance – a missing dimension in the Varieties of Capitalism framework",2021,"Krause, Theresa; Chen, Mo; Fischer, Doris",,Konferenzpapier,"Proceedings of the 33rd Annual SASE Meeting 2021",,,,,,,,,,,,,,,,,,
"The Right to Data Portability: conception, status quo, and future directions",2021,"Kuebler-Wachendorff, Sophie; Luzsa, Robert; Kranz, Johann; Mager, Stefan; Syrmoudis, Emmanuel; Mayr, Susanne; Grossklags, Jens",,Zeitschriftenaufsatz,,"Informatik Spektrum",,Springer,,,,,https://link.springer.com/article/10.1007/s00287-021-01372-w,44,4,264-272,,,,,,,
"Land of the Free - Legal Country Report on the United States of America",2021,"Leven, Benedikt",,Zeitschriftenaufsatz,,"SSRN Journal (SSRN Electronic Journal)",,,,,,,10.2139/ssrn.4079640,,,,,,,,,,
Datenschutz,2021,"Lewinski, Kai von",,Internetdokument,,,,bidt,,,,,,,,,,,,,,,
"Die Borkenstruktur des Datenschutzes am Baum der Privatheit im Wald der Datenmacht",2021,"Lewinski, Kai von",,Zeitschriftenaufsatz,,"Abschlussmagazin des DFG-Graduiertenkollegs 1681/2 ""Privatheit &amp; Digitalisierung""",,,,,,,,1681,2,6-10,,,,,,,
"Kommentierung von Art. 39 BayDSG (Allgemeines Auskunftsrecht)",2021,"Lewinski, Kai von",,"Beitrag in ...","Bayerisches Datenschutzgesetz",,,"Schröder, Dieterle et al.",,,,,,,,,,,,,,,
"Rechtsfrei oder Rechtsbrei – Welches Recht gilt im Internet?",2021,"Lewinski, Kai von",,Internetdokument,,,"bidt blog",bidt,,,,,,,,,,,,,,,
"Europa-, verfassungs- und datenschutzrechtliche Grundfragen des Registermodernisierungsgesetzes (RegMoG)",2021,"Lewinski, Kai von; Gülker, Marvin",,Zeitschriftenaufsatz,,"Deutsches Verwaltungsblatt",,,,,,,,2021,,633–641,,,,,,"Wissenschaftlicher Vortrag",
"Was informatisch richtig ist, kann auch juristisch recht sein",2021,"Lewinski, Kai von; Hähnle, Johanna",,Zeitschriftenaufsatz,,"Datenschutz Datensich (Datenschutz und Datensicherheit - DuD)",,,,,,,10.1007/s11623-021-1515-1,45,10,686–690,,,,,,,
"Startup-Recht für Dummies",2021,"Lewinski, Kai von; Strahl, Sören; Haag, Matthias",,"Buch (Monographie)",,,"ZFSH/SGB – Zeitschrift für die sozialrechtliche Praxis",,Weinheim,"Viley-VCH Verlag",,978-3-527-71671-5,,,,,,,,,,,
"Won't You Think of Others?: Interdependent Privacy in Smartphone App Permissions",2021,"Marsch, Maximilian; Grossklags, Jens; Patil, Sameer",,Konferenzpapier,"Proceedings of the ACM on Human-Computer Interaction",,,,,,,,https://doi.org/10.1145/3479581,5,CSCW2,1-35,,,,,,,
"On Corporate Responsibility When Studying Social Media Use and Well-Being",2021,"Montag, Christian; Hegelich, Simon; Sindermann, Cornelia; Rozgonjuk, Dmitri; Marengo, Davide; Elhai, Jon D.",,Zeitschriftenaufsatz,,"Trends in cognitive sciences",,,,,,,10.1016/j.tics.2021.01.002,25,4,268–270,,,,,,,
"Plattformen, Infrastrukturen und Gemeinwohl: Digitale Technologien für gesellschaftlichen Zusammenhalt?",2021,"Passoth, Jan-Hendrik",,"Beitrag in ...","Digitale Transformation",,,"Mischka, Unterberger",,,,,,,,78–96,,,,,,,
"Die Demokratisierung des Digitalen","Februar 2021","Passoth, Jan-Hendrik","Retten demokratische Algorithmen die Meinungsvielfalt?","Graue Literatur / Bericht / Report",,,,,,,,,,,,,,,,,,,
"Algorithmic Accountability in Context",2021,"Poechhacker, Nikolaus, Kacianka, Severin","Socio-Technical Perspectives on Structural Causal Models",Zeitschriftenaufsatz,,"Front. Big Data",,,,,,,10.3389/fdata.2020.519957,,3,,,,,,,,
"Stage-Dependent Drivers of Customer Engagement in Dual-Stage Data Disclosure Decisions",2021,"Postel, Lea; Schumann, Jan H.; Widjaja, Thomas",,Konferenzpapier,"Proceedings of the 4th Conference of the Bavarian 2021",,,,,,,,,,,,,,,,,,
"Ethik in der agilen Software-Entwicklung",2021,"Pretschner, Alexander; Zuber, Niina; Gogoll, Jan; Kacianka, Severin; Nida-Rümelin, Julian",,Zeitschriftenaufsatz,,"Informatik Spektrum",,,,,,,10.1007/s00287-021-01390-8,44,5,348–354,,,,,,"Wissenschaftlicher Vortrag",
"A Generic Plug & Produce System Composed of Semantic OPC UA Skills",2021,"Profanter, Stefan; Perzylo, Alexander; Rickert, Markus; Knoll, Alois",,Zeitschriftenaufsatz,,"IEEE Open Journal of the Industrial Electronics Society",,,,,,,10.1109/OJIES.2021.3055461,,2,128–141,,,,,,"Wissenschaftlicher Vortrag",
"Legal and Technical Considerations on Unified, Safe and Data-Protected Haptic Telepresence in Healthcare",2021,"Reindl, Anton; Rudigkeit, Nina; Ebers, Martin; Trobinger, Mario; Elsner, Jean; Haddadin, Sami",,Konferenzpapier,"Proceedings of the 2021 IEEE International Conference 2021",,,,,,,,10.1109/ISR50024.2021.9419559,,,239–243,,,,,,,
"Meinungsmachtkontrolle und Vielfaltsmonitoring im digitalen Zeitalter: Eine kritische Reflexion der Begriffe, Annahmen, Indikatoren und Verfahren von Medienstaatsvertrag, Konzentrationskontrolle und Medienvielfaltsmonitoring",2021,"Reinemann, Carsten; Zieringer, Lisa",,"Graue Literatur / Bericht / Report",,,"bidt Working Paper",,München,,,,,,,,,,,,,,
"MStV-Vorschlag der Länder: Reformpläne für Medienplattformen mit Anforderungen an vielfaltsfördernde Empfehlungssysteme",2021,"Rhein, Valerie; Dreyer, Stephan",,"Graue Literatur / Bericht / Report",,,"bidt blog",bidt,,,,,,,,,,,,,,,
"Öffentlich-rechtlicher Rundfunk als Pionier in der Online-Medienlandschaft?",2021,"Rhein, Valerie; Dreyer, Stephan",,Internetdokument,,,Media-Research-Blog,"Leibniz-Institut für Medienforschung Hans-Bredow-Institut",,,,,,,,,,,,,,,
"Public Service-Onlineangebote und ""internetspezifische Gestaltungsmittel""",2021,"Rhein, Valerie; Dreyer, Stephan",,Internetdokument,,,Media-Research-Blog,,,,,,,,,,,,,,,,
"Rechtliche Vorgaben für die Gestaltung von Software öffentlich-rechtlicher Medienplattformen : gesetzliche und verfassungsrechtliche Programmaufträge und deren Abbildbarkeit in Strukturen, Verfahren und Code","Mai 2021","Rhein, Valerie; Dreyer, Stephan; Schulz, Wolfgang",,"Buch (Monographie)",,,"Arbeitspapiere des Hans-Bredow-Instituts Projektergebnisse",,Hamburg,"Leibniz-Institut für Medienforschung Hans-Bredow-Institut (HBI)",,978-3-87296-168-6,,"Nr. 56",,,,,,,,,
"Flexible Robotic Assembly Based on Ontological Representation of Tasks, Skills, and Resources",2021,"Schäfer, Philipp Matthias; Steinmetz, Franz; Schneyer, Stefan; Bachmann, Timo; Eiband, Thomas; Lay, Florian Samuel; Padalkar, Abhishek; Sürig, Christoph; Stulp, Freek; Nottensteiner, Korbinian",,Konferenzpapier,"Proceedings of the Eighteenth International",,,"Erdem, Bienvenu et al.",,,,,10.24963/kr.2021/73,,,702–706,,,,,,,
"Ein Jahr Facebook Oversight Board",2021,"Schillmöller, Jan",,"Graue Literatur / Bericht / Report",,,"bidt blog",,,,,,,,,,,,,,,,
"Urheberrecht im digitalen Zeitalter – Gesetzgebung im Interessenkonflikt",2021,"Schillmöller, Jan; Doseva, Steliyana; Schmid-Petri, Hannah; Heckmann, Dirk",,"Graue Literatur / Bericht / Report",,,"bidt blog",,,,,,,,,,,,,,,,
"Künstliche Intelligenz als Sozialarbeiterin",2021,"Stieler, Mara, Burghardt, Jennifer, Poltermann, Aleksandra, Dierks, Julisha, Lehmann, Robert","Neue Caritas",Zeitschriftenaufsatz,,"Politik – Praxis – Forschung.",,,,,,,,,21,9-13,,,,,,,
"Digitalisierung durch Corona?",2021,"Stürz, Roland A.","Homeoffice in Bayern im Februar 2021","Graue Literatur / Bericht / Report",,,"bidt Analysen und Studien",bidt,,,,,,,,,https://www.bidt.digital/publikation/digitalisierung-durch-corona-homeoffice-in-bayern-im-februar-2021/,,,,,,
"Corona und Homeoffice: Verbreitung, Akzeptanz und Folgen von Homeoffice",2021,"Stürz, Roland A.; Hemmler, Yvonne",,"Beitrag in ...","Die Psyche in Zeiten",,,"Bering, Eichenberg",,,,,,,,139–150,,,,,,,
"Die Pandemie als Treiber der digitalen Transformation der Hochschulen?",2021,"Stürz, Roland A.; Schlude, Antonia; Putfarken, Hannes","Lehren aus den bisherigen Digitalsemestern","Graue Literatur / Bericht / Report",,,"bidt Impulse",bidt,,,,,,,4,,https://www.bidt.digital/publikation/die-pandemie-als-treiber-der-digitalen-transformationder-hochschulen/,,,,,"Wissenschaftlicher Vortrag",
"Digitalisierung durch Corona?",2021,"Stürz, Roland A.; Schlude, Antonia; Stumpf, Christian; Putfarken, Hannes","Homeoffice im September/Oktober 2021","Graue Literatur / Bericht / Report",,,"bidt Analysen und Studien",bidt,,,,,,,,,https://www.bidt.digital/publikation/digitalisierung-durch-corona-homeoffice-imseptember-oktober-2021/,,,,,,
"Digitalisierung durch Corona?",2021,"Stürz, Roland A.; Stumpf, Christian; Schlude, Antonia; Putfarken, Hannes","Homeoffice im Mai 2021","Graue Literatur / Bericht / Report",,,"bidt Analysen und Studien",bidt,,,,,,,,,https://www.bidt.digital/publikation/digitalisierung-durch-corona-homeoffice-im-mai-2021/,,,,,,
